rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/fps,time/episodes
-3904.1646771875,102.0,0.0,1632,272,5,10
-4148.318813166666,102.0,0.0,2448,404,6,20
-4075.8682044375,102.0,0.0,3264,542,6,30
-4276.1197429,102.0,0.0,4080,695,5,40
-4318.416429214286,102.0,0.0,5712,987,5,50
-4353.32946225,102.0,0.0,6528,1129,5,60
-4542.593282069445,102.0,0.0,7344,1283,5,70
