rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,time/total_timesteps,time/episodes,time/fps
102.0,-4216.69305475,0.0,222,1632,10,7
102.0,-4225.284245166667,0.0,343,2448,20,7
102.0,-4435.203582343751,0.0,463,3264,30,7
102.0,-4361.376007875,0.0,585,4080,40,6
102.0,-4225.2327403035715,0.0,816,5712,50,6
102.0,-4060.0101439375003,0.0,935,6528,60,6
102.0,-4082.336896708334,0.0,1048,7344,70,7
102.0,-4051.7419575875,0.0,1153,8160,80,7
